CASRN	Compound	Hf
613-33-2	1-Methyl-4(4-Methylphenyl)-Benzene	137860
643-93-6	1-Methyl-3-Phenylbenzene	137860
644-08-6	1-Methyl-4-Phenylbenzene	137860
110-86-1	Pyridine	140160
591-95-7	1,2-Pentadiene	140690
103-29-7	1,2-Diphenylethane	143000
627-19-0	1-Pentyne	144350
503-17-3	Dimethylacetylene	146310
100-42-5	Styrene	147360
5707-44-8	1-Ethyl-4-Phenylbenzene	148200
496-11-7	Indan (2,3-dihydroindene)	149960
91-20-3	Naphthalene	150580
101-81-5	Diphenylmethane	154000
83-32-9	Acenaphthene	155000
120-72-9	Indole	156600
95-13-6	indene	163280
590-19-2	1,2-Butadiene	163290
107-00-6	Ethylacetylene (1-butyne)	165180
92-52-4	Biphenyl	182090
74-99-7	Methylacetylene (Propyne)	184510
86-73-7	Fluorene	186900
463-49-0	Propadiene	191530
85-01-8	Phenanthrene	207100
86-74-8	Dibenzopyrrole	209600
592-49-4	2,3-Hexadiene	213820
91-22-5	Quinoline	222300
129-00-0	Pyrene	225000
74-86-2	Acetylene (Ethyne)	226750
120-12-7	Anthracene	230100
103-30-0	trans-1,2-Diphenylethene	241000
645-49-8	cis-1,2-Diphenylethene	245190
208-96-8	Acenaphthalene (Acenaphthylene)	259590
218-01-9	Chrysene (1,2-benzophenanthrene)	262900
84-15-1	1,2-Diphenylbenzene (o-terphenyl)	276570
92-06-8	1,3-Diphenylbenzene (m-terphenyl)	276570
92-94-4	1,4-Diphenylbenzene (p-terphenyl)	276570
206-44-0	Fluoranthene	288900
260-94-6	Acridine	291040
689-97-4	Vinylacetylene	304630
1127-76-0	1-Ethylnaphthalene	323890
4669-01-6	n-Pentadecylcyclopentane	395010
501-65-5	Diphenylacetylene	430110
75-71-8	Dichlorodifluoromethane	491610
2189-60-8	n-Octylbenzene	538810
